nombre,comuna
Guaranty Bancorp,Putre
Inseego Corp.,Alto del Carmen
Peapack-Gladstone Financial Corporation,San Gregorio
"German American Bancorp, Inc.",Coquimbo
La Picarda,Camiña
"Apple Hospitality REIT, Inc.",Antofagasta
"TC PipeLines, LP",Iquique
"Nustar GP Holdings, LLC",Maria Pinto
Cosayach - Cala Cala,Alto Hospicio
Georgia Power Company,Tocopilla
PowerShares BuyBack Achievers Portfolio,Rio Hurtado
Costamare Inc.,Cañete
Gilat Satellite Networks Ltd.,Antartica
The9 Limited,Alto Hospicio
"Taiwan Fund, Inc. (The)",Contulmo
Entegra Financial Corp.,Monte Patria
Torchmark Corporation,Alto del Carmen
SAP SE,Juan Fernandez
"Appliance Recycling Centers of America, Inc.",Ollagüe
Punitaqui,Ovalle
Schwager,San Rosendo
Old Republic International Corporation,Alto Hospicio
"Cleveland BioLabs, Inc.",San Pedro de Atacama
Pampa Camarones,General Lagos
Bronce de Petorca,Valparaiso
"Gabelli Equity Trust, Inc. (The)",San Gregorio
Cerro Negro,Puchuncavi
Andacollo Cobre,Illapel
"Meridian Waste Solutions, Inc",General Lagos
"Kayne Anderson Energy Total Return Fund, Inc.",Curacavi
Limoneira Co,Antofagasta
"First Financial Bankshares, Inc.",Primavera
"Cyclacel Pharmaceuticals, Inc.",Taltal
Crawford & Company,Vicuña
"Delcath Systems, Inc.",Diego de Almagro
"Ashford Hospitality Prime, Inc.",Valparaiso
"Rush Enterprises, Inc.",Chañaral
GlaxoSmithKline PLC,Chañaral
Great Plains Energy Inc,Rancagua
"Urban One, Inc. ",Sierra Gorda
Bed Bath & Beyond Inc.,Chañaral
PIMCO Dynamic Credit and Mortgage Income Fund,Ovalle
Apollo Senior Floating Rate Fund Inc.,Concon
Caserones,Tierra Amarilla
Linderos,Vicuña
Andacollo Oro,Canela
Carvana Co.,Taltal
Northern Trust Corporation,Sierra Gorda
Celite - Tilviche,Camiña
El Teniente,Rancagua
Neff Corporation,Antartica
VictoryShares US 500 Enhanced Volatility Wtd ETF,Maria Elena
Flor de Los Andes,Combarbala
Isla Riesco,Antartica
First Trust South Korea AlphaDEX Fund,Codegua
"PDF Solutions, Inc.",Putre
Cabot Corporation,Alto del Carmen
Data Processing,Vallenar
Ivan,Sierra Gorda
Cosayach - Negreiros,Colchane
Delta,Salamanca
Silvercrest Asset Management Group Inc.,Ollagüe
Tres Valles,Punitaqui
"Enanta Pharmaceuticals, Inc.",Quintero
"Safe Bulkers, Inc",Mejillones
Pascua,Huasco
Biglari Holdings Inc.,Natales
"Gray Television, Inc.",Alhue
"CatchMark Timber Trust, Inc.",Antofagasta
Las Piedras,Tirua
"Western New England Bancorp, Inc.",Sierra Gorda
"Shutterstock, Inc.",Curacavi
"FSB Bancorp, Inc.",Rio Verde
SQM - Pedro de Valdivia,Antofagasta
United Microelectronics Corporation,Antofagasta
"Adams Diversified Equity Fund, Inc.",Panguipulli
Tranquilo,Laguna Blanca
Guanaco,Sierra Gorda
PowerShares Nasdaq Internet Portfolio,Huara
Lota,Santa Barbara
Diageo plc,Arica
El Tofo,La Serena
Fair Isaac Corporation,Pozo Almonte
PTC Inc.,Pica
E.I. du Pont de Nemours and Company,Ollagüe
Stamps.com Inc.,Tierra Amarilla
Vina Concha Y Toro,Tirua
"Tootsie Roll Industries, Inc.",San Pedro de Atacama
Manto Verde,Caldera
"Ellie Mae, Inc.",La Serena
"The Chefs' Warehouse, Inc.",Ollagüe
Quiborax,Putre
"India Fund, Inc. (The)",Porvenir
Gladstone Commercial Corporation,Alto Hospicio
Check-Cap Ltd.,Calama
"Investors Bancorp, Inc.",Alhue
"MasTec, Inc.",Tocopilla
Las Pataguas,Codegua
Las Luces,Taltal
DRDGOLD Limited,Combarbala
Johnson & Johnson,Isla de Maipo
Cosayach - Soledad,Iquique
Nuveen Municipal High Income Opportunity Fund,Paiguano
"Herman Miller, Inc.",Sierra Gorda
III de Atacama Kozan,Vallenar
Fidus Investment Corporation,Camiña
"Portola Pharmaceuticals, Inc.",Rio Ibañez
Great Elm Capital Corp.,Colchane
Cordillera - Tenardita,Colchane
"Avenue Therapeutics, Inc.",Mejillones
Pullalli,Casablanca
Los Bronces,Maria Pinto
"Pepsico, Inc.",Punta Arenas
Candelaria,Freirina
West Corporation,Los Vilos
Pupunahue,Panguipulli
Dollar General Corporation,Maria Elena
Bright Scholar Education Holdings Limited,Huara
"Zynerba Pharmaceuticals, Inc.",Mejillones
CMP - Romeral,Coquimbo
Pinatolca,Los Alamos
Cohen & Steers Reit and Preferred Income Fund Inc,Punitaqui
B.O.S. Better Online Solutions,Taltal
Hamilton Lane Incorporated,Alto Biobio
ENGlobal Corporation,Calama
Incyte Corporation,Caldera
"Westbury Bancorp, Inc.",Huasco
"HD Supply Holdings, Inc.",Mejillones
BRF S.A.,Talagante
Zaldivar,Taltal
"Aspen Technology, Inc.",Antofagasta
"Entergy Louisiana, Inc.",Copiapo
Independence Holding Company,San Pedro de Atacama
"Midland States Bancorp, Inc.",Taltal
Patriot National Bancorp Inc.,Tocopilla
Talcuna,Paiguano
"Blackhawk Network Holdings, Inc.",Punta Arenas
Natl Westminster Pfd,Cabo de Hornos
"AMC Entertainment Holdings, Inc.",Tierra Amarilla
Salesforce.com Inc,Primavera
"Ocular Therapeutix, Inc.",Huasco
"Hawkins, Inc.",Chañaral
Colico Sur,Tucapel
El Peñon,Tocopilla
CoreSite Realty Corporation,Porvenir
Western Alliance Bancorporation,Mejillones
Alliance National Municipal Income Fund Inc,Camiña
iShares 20+ Year Treasury Bond ETF,Tierra Amarilla
Envision Healthcare Corporation,Rio Hurtado
SQM - Pampa Blanca,Tocopilla
Lomas Bayas,San Pedro de Atacama
"FairPoint Communications, Inc.",Andacollo
Arlington Asset Investment Corp,Ollagüe
Andina,Villa Alemana
Celite - Carol,Camarones
Tekla Healthcare Opportunies Fund,Tierra Amarilla
American Homes 4 Rent,Calama
"support.com, Inc.",Alto Hospicio
Nuveen Floating Rate Income Fund,Vallenar
"Hurco Companies, Inc.",Copiapo
"Littelfuse, Inc.",Salamanca
Kraton Corporation,Ollagüe
Applied DNA Sciences Inc,Canela
Blackstone GSO Long Short Credit Income Fund,Puchuncavi
"Chegg, Inc.",Casablanca
"Vectrus, Inc.",Camiña
Yahoo! Inc.,Ollagüe
CVS Health Corporation,Pozo Almonte
"Commerce Bancshares, Inc.",Maria Elena
"Sarepta Therapeutics, Inc.",Freirina
Romeral,Talagante
Texas Pacific Land Trust,Maria Elena
Esterline Technologies Corporation,Caldera
Silicon Motion Technology Corporation,Sierra Gorda
Ceragon Networks Ltd.,Caldera
"MiMedx Group, Inc",Pozo Almonte
La Pepa,Tierra Amarilla
Jeronimo,Tierra Amarilla
Sierra Gorda,San Pedro de Atacama
"Waste Management, Inc.",Curanilahue
Andes Travertine,Tocopilla
Eagle Bulk Shipping Inc.,Canela
SQM - Nueva Victoria,Alto Hospicio
"Dupont Fabros Technology, Inc.",Villa Alemana
Brookfield Global Listed Infrastructure Income Fund,Vicuña
"Impax Laboratories, Inc.",Alto Biobio
"Everspin Technologies, Inc.",Arica
Ministro Hales,Calama
SQM - Yumbes,Mejillones
Nabriva Therapeutics AG,San Rosendo
"OraSure Technologies, Inc.",Iquique
Radomiro Tomic,Sierra Gorda
PrimeEnergy Corporation,Freirina
TICC Capital Corp.,Mejillones
"Pinnacle Financial Partners, Inc.",Huara
"HCA Healthcare, Inc.",Antofagasta
Kopin Corporation,Alto del Carmen
"Commercial Vehicle Group, Inc.",Maria Elena
Can Can,Alto del Carmen
"The Travelers Companies, Inc.",Freirina
BlackRock Municipal Target Term Trust Inc. (The),San Pedro de Atacama
Quebrada Blanca,Pozo Almonte
CMP - Cerro Negro Norte,Freirina
Nuveen Energy MLP Total Return Fund,Puchuncavi
Global Partner Acquisition Corp.,Colchane
3M Company,El Monte
La Productora,Diego de Almagro
Cerro Iman,Caldera
SQM - Maria Elena,Ollagüe
"Biocept, Inc.",Timaukel
Cummins Inc.,San Pedro de Atacama
"Arista Networks, Inc.",Vallenar
"ILG, Inc",San Pedro de Atacama
Lambert,Andacollo
Caleta El Cobre,Calama
Ferton,El Monte
Moog Inc.,Huasco
"LM Funding America, Inc.",Rio Bueno
"PrivateBancorp, Inc.",Sierra Gorda
Coiron,Rio Verde
Microsemi Corporation,Laguna Blanca
Zion Oil & Gas Inc,Illapel
"Western Refining Logistics, LP",San Pedro
"Sierra Oncology, Inc.",Antofagasta
Dos Amigos,Freirina
Abeona Therapeutics Inc.,Calama
Merus Labs International Inc.,Tocopilla
First Trust Multi-Asset Diversified Income Index Fund,Tocopilla
Imax Corporation,Freirina
"H&R Block, Inc.",Taltal
Northrop Grumman Corporation,Concon
Diana Shipping inc.,Camarones
"Spark Energy, Inc.",Pozo Almonte
