id,ONG,proyecto,fecha
61,Koelpin Group,China Cord Blood Corporation,1986-03-21
62,"Herman, Luettgen And Balistreri",Ferton,2003-01-08
63,Bosco-Kiehn,Biglari Holdings Inc.,1987-10-11
64,Abbott ,B.O.S. Better Online Solutions,2014-03-01
65,"Weissnat, Jaskolski And Bins",Elenita,2010-07-13
66,Lind-Schuppe,Quiborax,1979-12-11
67,Marvin-Wolff,Tranquilo,2019-07-20
68,Jacobi-Bergnaum,"Mid-America Apartment Communities, Inc.",2003-02-22
69,Watsica-Morissette,Elkhorn Commodity Rotation Strategy ETF,2000-02-21
70,"Feil, Lehner And Krajcik",SQM - Maria Elena,1987-05-20
71,Gulgowski-Spinka,Eagle Bulk Shipping Inc.,2006-09-03
72,O'Hara ,Galectin Therapeutics Inc.,2017-06-02
73,"Moen, Koss And Paucek",Novanta Inc.,2017-12-10
74,Medhurst-Jones,"Ulta Beauty, Inc.",1993-07-12
75,"Schmidt, Reinger And Zulauf","First Financial Bankshares, Inc.",2003-10-16
76,Shields-Kuhlman,Refugio,2013-12-22
77,Rath Inc,El Tesoro,1992-11-16
78,Gutkowski Group,The Community Financial Corporation,1983-09-10
79,Bradtke-Walsh,"Sierra Oncology, Inc.",2004-01-31
80,"Rice, Daniel And Klocko",Dollar General Corporation,2013-12-01
81,"Harvey, Heathcote And Legros",BlackRock Municipal Target Term Trust Inc. (The),2011-06-04
82,"Baumbach, Reinger And Jaskolski",China Cord Blood Corporation,1991-04-09
83,"Schmidt, Ryan And Jacobson",Check-Cap Ltd.,2007-10-04
84,"Nolan, Reynolds And Waters",Cohen & Steers Reit and Preferred Income Fund Inc,2008-01-09
85,Hagenes-Gutmann,"Investors Bancorp, Inc.",2004-10-12
86,Conn-Jones,Bronce de Petorca,1983-03-09
87,Erdman-Block,"Financial Engines, Inc.",1988-04-21
88,Dooley-Runolfsson,"Diamond Hill Investment Group, Inc.",2019-02-23
89,Carroll-Moen,Marte Lobo,2013-09-04
90,Africa Esperanza,BLDRS Developed Markets 100 ADR Index Fund,2009-10-20
91,Corkery-Halvorson,ENGlobal Corporation,1955-12-03
92,Feil-Nikolaus,"Silicon Laboratories, Inc.",2019-05-24
93,Deckow-Nikolaus,Ojos del Salado,2003-02-03
94,Goldner-Klocko,Cosayach - Cala Cala,2016-10-31
95,Gottlieb Inc,Spence,1997-06-21
96,"Reinger, Keeling And Nienow",Janus Henderson Small Cap Growth Alpha ETF,1986-09-19
97,Moore-Reilly,Sierra Miranda,1982-06-04
98,Gottlieb ,Ojos del Salado,2017-04-14
99,Price Inc,III de Atacama Minerals - Aguas Blancas,2009-11-04
100,Hauck-Lind,Candelaria,2015-06-07
101,Klocko Group,La Perla,1994-01-12
102,Adecoi,BlackRock Municipal Target Term Trust Inc. (The),1990-12-02
103,Reichert And Sons,SQM - Nueva Victoria,2003-05-31
104,King ,Las Cenizas,2012-05-06
105,Haag-Stoltenberg,El Guindo,2004-05-15
106,Schroeder-Hamill,"Texas Capital Bancshares, Inc.",1971-11-09
107,Goldner-Klocko,Cerro Bayo,2019-07-30
108,Abbott ,"Silicon Laboratories, Inc.",2019-07-14
109,Gottlieb ,"Urban One, Inc. ",2009-12-13
110,Jenkins-Ward,"Appliance Recycling Centers of America, Inc.",2008-02-01
111,"Friesen, Friesen And Hodkiewicz",III de Atacama Kozan,1960-05-13
112,Yost Inc,Container Store (The),2018-07-22
113,"Ratke, Connelly And Ward",Condor,1992-02-05
114,Sanford ,Enel Generacion Chile S.A.,2014-07-25
115,"Turner, Medhurst And Carroll",La Patagua,1997-08-14
116,"Fisher, Cummings And Rowe",Quiborax,1983-09-23
117,"Mckenzie, Paucek And Jaskolski",Caleta El Cobre,1993-10-16
118,Ferry-Schuppe,"Blackhawk Network Holdings, Inc.",2005-11-02
119,Kovacek-Swift,L.B. Foster Company,2014-10-28
120,"Lang, Kohler And Dietrich",West Corporation,2018-12-13
121,Keeling Group,Victoria,2015-06-06
122,Bahringer-Lehner,Neff Corporation,2016-01-22
123,"Cassin, Grant And Pfannerstill",Brookfield Global Listed Infrastructure Income Fund,2018-08-25
124,Osinski-Zemlak,Unisys Corporation,2005-12-27
125,Carroll-Mcclure,Western Alliance Bancorporation,2005-06-24
126,O'Conner And Sons,Eaton Vance Corporation,2011-01-14
127,Lind-Schuppe,"Appliance Recycling Centers of America, Inc.",1988-08-28
128,Kuhlman-Bernhard,"Edge Therapeutics, Inc.",1983-03-27
129,Brown ,"Pinnacle Financial Partners, Inc.",1991-02-01
130,Quitzon Group,CMP - Cerro Negro Norte,2018-11-10
131,Zieme-Langworth,La Pepa,2009-06-17
132,Nolan Inc,Lota,2017-09-24
133,"Dibbert, Mckenzie And Cronin",ENGlobal Corporation,1972-08-27
134,"Auer, Bogisich And Jacobson","Evolving Systems, Inc.",2012-12-04
135,Mcglynn ,CMP - Boqueron Chañar,2005-01-14
136,"Hickle, Beatty And Gleichner",Peapack-Gladstone Financial Corporation,1982-01-08
137,Ernser-Eichmann,Spence,1998-11-11
138,Buckridge Group,El Tofo,2017-04-19
139,"Wyman, Nicolas And Fahey",La Productora,2019-06-01
140,Aufderhar-Mitchell,Chimborazo,2017-07-04
141,"Steuber, Rutherford And Upton",Refugio,1992-03-27
142,Greenholt Inc,Ojos del Salado,2010-10-13
143,Jacobson Group,Zaldivar,2007-05-31
144,Rowe-Wisoky,PowerShares BuyBack Achievers Portfolio,2017-03-06
145,Weissnat Inc,"National American University Holdings, Inc.",1971-08-23
146,Marvin-Kautzer,Tekla Healthcare Opportunies Fund,2015-10-22
147,Stiedemann-Wuckert,Ministro Hales,1994-05-04
148,Paucek Group,B.O.S. Better Online Solutions,1981-05-07
149,Blick-Bartell,iShares MSCI EM ESG Optimized ETF,1994-04-04
150,Block Group,"Tootsie Roll Industries, Inc.",1976-06-28
151,"Oberbrunner, Cremin And Gislason",AdvisorShares Market Adaptive Unconstrained Income ETF,2002-01-18
152,Rosenbaum-Leffler,Jeronimo,2011-11-17
153,Prohaska-Lueilwitz,Nuveen Floating Rate Income Fund,1985-02-11
154,"Kutch, Rodriguez And Hettinger",SQM - Mapocho,2009-06-03
155,"Bruen, Cruickshank And Blick",HollyFrontier Corporation,2008-09-04
156,Schoen And Sons,"LTC Properties, Inc.",2019-03-09
157,Franecki Group,Ojos del Salado,2001-08-17
158,Cruickshank-Schmitt,Los Bronces,2017-11-26
159,Pouros And Sons,Northern Trust Corporation,1983-09-06
160,Nikolaus-Pfannerstill,PowerShares BuyBack Achievers Portfolio,1997-04-17
161,Bradtke And Sons,Forum Merger Corporation,1981-10-04
162,Accion Natura,"CenterPoint Energy, Inc.",2016-06-25
163,Feest-Graham,"CenterPoint Energy, Inc.",2017-07-22
164,"Williamson, Lindgren And Cummerata",Gladstone Commercial Corporation,2012-09-16
165,Bartell Inc,First Trust Multi-Asset Diversified Income Index Fund,2008-03-13
166,Langosh-Reilly,"Waste Management, Inc.",1999-06-16
167,Ziemann-Trantow,Caleta El Cobre,1991-10-20
168,Bechtelar-Wuckert,Bed Bath & Beyond Inc.,2001-01-30
169,"Yost, Mayer And Stokes","Fiserv, Inc.",1973-04-06
170,Fadel Group,AmerisourceBergen Corporation (Holding Co),2014-08-09
171,Brakus Group,HollyFrontier Corporation,2005-04-21
172,"Hickle, Mertz And Harris",Peapack-Gladstone Financial Corporation,1984-01-13
173,"Dibbert, Mckenzie And Cronin",Gladstone Commercial Corporation,2013-07-03
174,"Wunsch, Barrows And Hoeger",Talcuna,1998-12-23
175,Kreiger-Mccullough,The Community Financial Corporation,1998-01-09
176,Zulauf And Sons,First Trust Multi-Asset Diversified Income Index Fund,2012-12-11
177,"Kassulke, Hamill And Luettgen",Western Alliance Bancorporation,2002-08-19
178,Aufderhar-Mitchell,"HCA Healthcare, Inc.",1966-07-21
179,"Hayes, Goodwin And Feil","Mirna Therapeutics, Inc.",1998-04-07
180,"Schmeler, Carroll And Schaden",Vanguard Russell 3000 ETF,1996-11-26
181,Lehner-Stanton,"Waste Management, Inc.",2018-12-30
182,Yundt Group,Array BioPharma Inc.,2018-02-25
183,"Cartwright, Gusikowski And Miller",Arenal,2013-10-05
184,"Halvorson, Jacobson And Ward",Costamare Inc.,1970-12-20
185,Greenholt Inc,Gladstone Commercial Corporation,2013-02-25
186,Thiel Group,Celite - Tilviche,1981-12-09
187,Brekke-Crist,"Western Refining Logistics, LP",1967-09-25
188,"Lebsack, Borer And Sanford","Under Armour, Inc.",2012-02-27
189,Carroll-Mcclure,Northern Trust Corporation,1980-05-14
190,Maggio-O'Keefe,Faride,2004-12-19
191,Nikolaus-Pfannerstill,Don Alberto,1989-07-17
192,"Mertz, Boyle And Franecki","First Hawaiian, Inc.",2003-01-29
193,"Powlowski, Kohler And Deckow",Pampa Camarones,2017-08-26
194,Buckridge Group,HollyFrontier Corporation,2008-09-04
195,Sawayn Inc,Eaton Vance Corporation,2006-01-08
196,Williamson-Littel,Elenita,2011-01-27
197,"Larson, Franecki And Macejkovic",CoreSite Realty Corporation,1982-07-31
198,Waelchi Inc,Gladstone Commercial Corporation,2017-04-21
199,Funk And Sons,Entegra Financial Corp.,1990-03-10
200,Rice-Price,Randgold Resources Limited,1982-07-16
201,O'Reilly-Hilll,Dollar General Corporation,2014-10-25
202,Franecki ,SAP SE,2011-09-19
203,"Jacobs, Braun And Schimmel",Andacollo Cobre,2012-07-14
204,D'Amore Group,Michilla,1989-04-27
205,Daniel ,Ministro Hales,2012-07-27
206,Wehner-Steuber,Lions Gate Entertainment Corporation,1998-09-06
207,Mann-Schinner,"Aspen Technology, Inc.",2015-10-16
208,Hessel-Toy,Altamira,1961-11-02
209,Collins-Hermann,EQT Corporation,2007-11-28
210,"Kihn, Orn And Farrell",Merus Labs International Inc.,1988-06-16
211,Thiel Group,BRF S.A.,1955-06-13
212,Reichert And Sons,"CenterPoint Energy, Inc.",2009-09-22
213,Jenkins And Sons,"Idera Pharmaceuticals, Inc.",2009-05-05
214,Thiel ,Fidus Investment Corporation,1990-03-23
215,Bradtke Inc,"Cleveland BioLabs, Inc.",1981-02-01
216,"Morissette, Christiansen And Collins",Sierra Miranda,1997-05-10
217,Raynor-Oberbrunner,CVS Health Corporation,1964-08-28
218,Sporer Inc,"Financial Engines, Inc.",2001-04-08
219,"Stiedemann, Willms And Fay","Discovery Communications, Inc.",1995-07-16
220,Adavas,Quebrada Blanca,2009-08-14
221,"Reichert, Mayer And Schmitt","The Chefs' Warehouse, Inc.",2013-08-06
222,"Schowalter, Johnson And Kerluke",Schwager,2007-07-08
223,Hirthe ,"Appliance Recycling Centers of America, Inc.",1982-10-31
224,Stiedemann-Wuckert,"Texas Capital Bancshares, Inc.",1995-07-08
225,Kunde-Lowe,"Portola Pharmaceuticals, Inc.",1976-01-26
226,Watsica-Hauck,Navio,1979-07-27
227,Russel Group,"Sportsman's Warehouse Holdings, Inc.",2003-12-20
228,Rogahn-Leannon,Arenal,2018-08-08
229,"Skiles, Bauch And Rippin",Bronce de Petorca,2006-10-28
230,Wiegand Group,Julia,2013-05-14
231,"Kling, Effertz And Anderson","Shutterstock, Inc.",2008-07-04
232,Hintz-Donnelly,PowerShares Golden Dragon China Portfolio,2016-10-11
233,"Gutkowski, Kuhlman And Purdy",PowerShares BuyBack Achievers Portfolio,1986-08-08
234,Carter-Muller,"Adams Diversified Equity Fund, Inc.",1967-08-07
235,"Dare, O'Conner And Mohr","H&R Block, Inc.",2006-01-05
236,Rowe-Fisher,VictoryShares US 500 Enhanced Volatility Wtd ETF,1985-12-07
237,Cassin-Mayer,JM Global Holding Company,1989-07-03
238,"Fisher, Cummings And Rowe",CVS Health Corporation,1961-03-20
239,Rosenbaum And Sons,Northrop Grumman Corporation,2010-07-10
240,Sauer-Stoltenberg,Los Pelambres,2005-10-06
241,Hirthe ,Cummins Inc.,1988-06-10
242,"Koelpin, Stehr And Senger","Apple Hospitality REIT, Inc.",2016-08-03
243,Wilderman-Leannon,Cosayach - Negreiros,1985-04-27
244,Cole-Reilly,Los Bronces,2012-10-03
245,Jenkins And Sons,Cohen & Steers Reit and Preferred Income Fund Inc,1991-03-05
246,"Beer, Zieme And Huels",Navio,2003-10-18
247,"Blanda, Stanton And Altenwerth",Esperanza,1993-07-09
248,"Watsica, Spencer And Weissnat",Merus Labs International Inc.,2017-05-28
249,"Blick, Herman And Grady",Dollar General Corporation,2018-09-23
250,"Funk, Turcotte And Jenkins",EPR Properties,1971-12-12
251,"Lebsack, Conn And Kulas",El Teniente,2009-09-29
252,Heaney Inc,Microsemi Corporation,2000-11-16
253,"Reilly, Veum And Wehner","Biocept, Inc.",2006-12-04
254,Koelpin-Hand,Candelaria,1996-05-13
255,"Becker, Haag And Hammes",Biglari Holdings Inc.,1980-03-30
256,Yundt Group,Chimberos,2019-03-08
257,"Kilback, Frami And Abbott","The Travelers Companies, Inc.",2010-03-11
258,Walsh-Doyle,Enel Generacion Chile S.A.,2008-10-11
259,Keebler-Stark,Marte Lobo,2012-11-13
260,Champlin ,Cabot Corporation,2010-07-03
261,Braun-Simonis,"CenterPoint Energy, Inc.",2013-03-18
262,Raynor And Sons,JM Global Holding Company,1990-12-31
263,Friesen-Pfeffer,"Investors Bancorp, Inc.",2014-11-05
264,Zieme ,Catamutun,2018-08-01
265,Adane,NVIDIA Corporation,2017-11-16
266,"Feil, Lehner And Krajcik",Pampa Camarones,2009-12-20
267,Luettgen And Sons,SQM - Maria Elena,1981-05-09
268,Harvey And Sons,"Mirna Therapeutics, Inc.",2011-05-07
269,"Ratke, Swaniawski And Spinka",Sierra Gorda,1992-10-03
270,O'Keefe-Dickinson,Pirquitas,2018-11-11
271,Boehm-Luettgen,Carvana Co.,2018-11-19
272,Skiles-Schamberger,Alliance National Municipal Income Fund Inc,1986-06-25
273,"Gusikowski, Luettgen And Cremin",Urstadt Biddle Properties Inc.,2011-09-03
274,"Stokes, Kilback And Boyle",Abeona Therapeutics Inc.,1971-01-21
275,Watsica-Morissette,Lambert,1969-01-06
276,Hintz-Reilly,El Teniente,2007-12-17
277,Zboncak Inc,Las Arenitas,1997-01-30
278,Lehner-Stanton,Zaldivar,2011-09-16
279,Wilkinson-Zboncak,PowerShares KBW High Dividend Yield Financial Portfolio,2018-07-20
280,Aufderhar-Mitchell,First Trust South Korea AlphaDEX Fund,2014-06-02
281,Herman-Graham,Suncor EnergyInc.,1988-04-01
282,Hermiston And Sons,Western Asset Bond Fund,2016-10-26
283,"Wilderman, Dubuque And Quitzon","Idera Pharmaceuticals, Inc.",2008-12-30
284,"Morissette, Christiansen And Collins","Meridian Waste Solutions, Inc",2010-10-21
285,Hauck ,Quiborax - Ascotan,2017-03-22
286,Becker And Sons,Tres Valles,2014-10-16
287,Feil-Nikolaus,Cummins Inc.,2012-11-06
288,Schowalter-Senger,Dynatronics Corporation,1982-02-19
289,Africa Digna,Clifton Bancorp Inc.,2003-04-28
290,Weber Inc,"Taiwan Fund, Inc. (The)",2009-06-01
291,Mcglynn ,Cerro Bayo,2017-08-21
292,Little-Weber,Condor,2006-08-12
293,Kuphal And Sons,U.S. Energy Corp.,2015-08-27
294,Hoeger ,Manto Verde,1981-01-12
295,"Glover, Dickens And Russel","German American Bancorp, Inc.",1995-07-02
296,Schmidt-Schinner,First Trust Senior Loan Fund ETF,2006-03-21
297,"Russel, Kemmer And Pacocha",Los Pelambres,2002-05-27
298,Luettgen-Satterfield,Microsemi Corporation,2013-01-14
299,Dickens ,Applied DNA Sciences Inc,2008-02-14
300,Yost Inc,Can Can,2016-05-28
301,"Rau, Ryan And Lueilwitz","Westbury Bancorp, Inc.",2019-06-20
302,"Yost, Mayer And Stokes",Bed Bath & Beyond Inc.,1997-07-31
303,Lueilwitz ,"Western New England Bancorp, Inc.",2018-12-12
304,"Cole, Reichert And Halvorson","Mirna Therapeutics, Inc.",1983-04-13
305,Schowalter-Senger,PIMCO Dynamic Credit and Mortgage Income Fund,1988-07-16
306,"Zemlak, Cruickshank And Boehm",Lota,2007-06-16
307,"Moen, Koss And Paucek",Forum Merger Corporation,2012-05-08
308,Senger Group,Quiborax - Ascotan,2014-03-20
309,Deckow And Sons,CVS Health Corporation,1981-01-22
310,Carter-Mueller,Kraton Corporation,2005-07-29
311,Hoeger ,Mantos Blancos,2019-08-07
312,Jaskolski-Boyer,SQM - Yumbes,1982-06-20
313,"Kling, Effertz And Anderson",III de Atacama Kozan,2016-05-25
314,Brekke-Crist,Ojos del Salado,2014-04-02
315,Weimann And Sons,Dollar General Corporation,2014-05-08
316,"Erdman, Rutherford And Cronin",iPath US Treasury Long Bond Bear ETN,2011-03-30
317,Connelly-Maggio,E*TRADE Financial Corporation,2014-04-24
318,Gutkowski ,Cosayach - Soledad,2017-06-11
319,"Littel, Bode And Dibbert",AmerisourceBergen Corporation (Holding Co),2014-09-07
320,"Oberbrunner, Cremin And Gislason",Voya Global Equity Dividend and Premium Opportunity Fund,1979-09-13
321,"Gusikowski, Luettgen And Cremin",III de Atacama Kozan,1964-03-26
322,Heller-Rohan,Las Pataguas,1990-05-14
323,Mertz Inc,Franke,2017-07-22
324,Boehm-Dooley,El Teniente,1991-06-17
325,"Okuneva, Vonrueden And Quigley",Pullalli,1992-07-21
326,Botsford-Romaguera,Caleta El Cobre,1994-08-07
327,Rogahn-Leannon,Eaton Vance Corporation,2019-08-20
328,Adem,Tuina,2015-04-22
329,Mueller-Simonis,"support.com, Inc.",2004-02-29
330,"Bernier, Shields And Mraz","XO Group, Inc.",2018-01-04
331,"Oberbrunner, Cremin And Gislason","China Lodging Group, Limited",1974-11-24
332,"Konopelski, Schaefer And Feil","Hawkins, Inc.",2006-05-23
333,Koch ,Navio,2007-09-19
334,Bahringer-Johnston,"Sierra Oncology, Inc.",2016-04-19
335,Frami Group,Las Cenizas,1984-08-30
336,Tromp ,"International Seaways, Inc.",2014-11-19
337,Gusikowski-Emard,"German American Bancorp, Inc.",1997-10-24
338,Ullrich Inc,Las Cenizas,1992-05-11
339,"Hackett, Lockman And Littel",Romeral,1976-05-07
340,Nolan Group,Peabody Energy Corporation,2018-08-26
341,Brekke-Crist,"Adams Diversified Equity Fund, Inc.",1999-06-07
342,Prohaska Inc,United Microelectronics Corporation,2001-06-28
343,Hermiston And Sons,Terreno Realty Corporation,1996-08-23
344,Hettinger-Nolan,Andes Travertine,2004-10-31
345,Muller Inc,"LM Funding America, Inc.",1976-12-22
346,"Carroll, Dubuque And Schultz",CoreSite Realty Corporation,2016-11-04
347,Kertzmann Group,Northrop Grumman Corporation,1983-09-19
348,Goyette ,Los Pelambres,1997-07-03
349,"Nicolas, Smitham And Wilderman","Midland States Bancorp, Inc.",2001-12-20
350,"Doyle, Mccullough And Friesen","Avon Products, Inc.",2008-06-04
351,Kuphal And Sons,Merus Labs International Inc.,1998-08-05
352,Gulgowski Inc,Ivan,1990-07-10
353,"Leffler, Wisozk And Koelpin",Ministro Hales,1980-09-04
354,Hickle Group,PowerShares Nasdaq Internet Portfolio,2014-03-28
355,"Hintz, Yost And Carter","Investors Bancorp, Inc.",2010-12-21
356,"Turcotte, Stark And Hauck",Torchmark Corporation,1965-04-04
357,Stark ,"TC PipeLines, LP",1998-08-28
358,Huels ,Drive Shack Inc.,2011-04-16
359,Sporer Inc,PowerShares Nasdaq Internet Portfolio,1984-01-27
360,"Keeling, Kilback And Mcdermott","Xenia Hotels & Resorts, Inc.",2013-08-06
361,"Kutch, Will And Grant","First Hawaiian, Inc.",1999-01-04
362,Wilkinson-Schmidt,Pupunahue,1982-10-24
363,"Trantow, Schneider And Marvin","FairPoint Communications, Inc.",1995-02-05
364,Rice-Price,American Homes 4 Rent,1975-06-12
365,Adams-Hickle,"Impax Laboratories, Inc.",2006-09-26
366,Hettinger-Kuhic,"NextEra Energy, Inc.",2001-12-09
367,Muller Inc,SQM - Mapocho,1981-05-03
368,Gleason And Sons,"Xenia Hotels & Resorts, Inc.",2014-02-15
369,"Blick, Herman And Grady",Ferton,1999-10-12
370,"Kassulke, Hamill And Luettgen","Sportsman's Warehouse Holdings, Inc.",2009-12-30
371,Dietrich ,"Zynerba Pharmaceuticals, Inc.",1968-12-24
372,"Cartwright, Gusikowski And Miller",Punitaqui,1983-01-08
373,Wisozk ,Nabriva Therapeutics AG,2019-01-21
374,O'Conner And Sons,Urstadt Biddle Properties Inc.,2003-12-12
375,Braun-Eichmann,CMP - Boqueron Chañar,2000-07-10
376,"Jacobson, Boyer And Gleichner",Park-Ohio Holdings Corp.,2004-02-22
377,Boehm ,Abeona Therapeutics Inc.,2002-07-05
378,Thiel ,Tres Valles,2005-03-12
379,Hermiston Group,B.O.S. Better Online Solutions,2012-05-26
380,Franecki-Beahan,Altamira,2019-02-28
381,Zieme-Langworth,III de Atacama Kozan,2003-12-17
382,Koelpin Group,El Tofo,2018-12-29
383,Dibbert And Sons,Unisys Corporation,1993-12-24
384,Zboncak Inc,"Discovery Communications, Inc.",1995-12-13
385,Durgan And Sons,"Cleveland BioLabs, Inc.",1991-03-24
386,Dickens-Boyle,Lomas Bayas,2000-04-25
387,Gottlieb Inc,Jazz Pharmaceuticals plc,2014-04-22
388,"Kuhn, Sawayn And Welch",Randgold Resources Limited,2012-06-18
389,"Trantow, Schneider And Marvin",Quebrada Blanca,2015-02-14
390,Hills-Quitzon,Talcuna,1975-10-31
391,Pagac And Sons,"Zynerba Pharmaceuticals, Inc.",1999-07-27
392,Ziemann-Trantow,Refugio,2012-11-28
393,"Miller, Senger And Kertzmann","German American Bancorp, Inc.",2013-05-28
394,"Gutkowski, Kuhlman And Purdy",Choquelimpie,1991-07-16
395,"Mohr, Monahan And Hermiston",Central Garden & Pet Company,2019-08-23
396,"Schmidt, Ryan And Jacobson",Fidus Investment Corporation,2000-02-11
397,Rosenbaum-Leffler,Nuveen Connecticut Quality Municipal Income Fund,1980-06-11
398,"Reichert, Mayer And Schmitt",Peckett,2019-02-28
399,"Predovic, O'Conner And Gutkowski","Nutanix, Inc.",2013-10-24
400,Pagac And Sons,Terreno Realty Corporation,2014-10-11
401,Barrows-Sauer,L.B. Foster Company,2015-12-17
402,"Russel, Kemmer And Pacocha",Jazz Pharmaceuticals plc,2011-05-16
403,Gulgowski Inc,Drive Shack Inc.,1958-09-16
404,Pacocha-Heller,"H&R Block, Inc.",2006-07-10
405,"Waters, Batz And Dickinson",Neff Corporation,2003-09-25
406,Marvin-Corkery,"SeaChange International, Inc.",1955-06-15
407,"Heller, Bradtke And Stoltenberg",San Jose,1994-09-15
408,Orn-Hilll,Diana Shipping inc.,2012-01-23
409,Mcglynn ,3M Company,1982-08-26
410,"Jacobs, Bechtelar And Skiles","Spark Energy, Inc.",2015-05-12
411,"Upton, Boehm And Haag",Punta de Lobos - Kanita,1990-04-30
412,"Nolan, Renner And Lesch","CenterPoint Energy, Inc.",1990-02-12
413,Quitzon-Hand,Orbotech Ltd.,1959-09-03
414,Raynor And Sons,San Jose,2013-04-22
415,"Kuhlman, Bashirian And Abbott",Envision Healthcare Corporation,2012-03-25
416,"Schaden, Wehner And Price",Corporate Asset Backed Corp CABCO,1991-01-14
417,Kerluke-Yundt,Ministro Hales,2008-08-27
418,Romaguera-Gerhold,"Avenue Therapeutics, Inc.",2018-12-14
419,"Herzog, Grimes And Jast",Chimborazo,2015-03-24
420,Mertz Inc,La Patagua,2001-01-13
421,Koelpin-Hand,III de Atacama Kozan,1972-01-28
422,Predovic Inc,Torchmark Corporation,1988-12-29
423,Franecki Group,Cordillera - Tenardita,2009-11-10
424,Jerde And Sons,"Waste Management, Inc.",2007-09-01
425,Kuvalis-Swift,Independence Holding Company,2014-06-19
426,Zboncak Inc,Biglari Holdings Inc.,1966-01-10
427,"Shields, Wintheiser And Boyle",PowerShares Nasdaq Internet Portfolio,1984-12-21
428,"Auer, Bogisich And Jacobson",Las Cenizas,1993-02-22
429,Aufderhar-Hettinger,Diageo plc,2018-06-24
430,"Erdman, Braun And Runolfsson",CMP - Romeral,1989-02-20
431,"Abshire, Crooks And Kassulke",Kopin Corporation,1979-04-12
