comuna de tramitacion,region de tramitacion
Vallenar,III de Atacama
Coltauco,VI del Libertador General Bernardo O'Higgins
Malloa,VI del Libertador General Bernardo O'Higgins
San Gregorio,XII de Magallanes y de La Antartica Chilena
Renca,Metropolitana de Santiago
Panquehue,V de Valparaiso
Nacimiento,VIII del Bio-Bio
Pichidegua,VI del Libertador General Bernardo O'Higgins
Olivar,VI del Libertador General Bernardo O'Higgins
Lo Prado,Metropolitana de Santiago
Calama,II de Antofagasta
Graneros,VI del Libertador General Bernardo O'Higgins
San Ignacio,XVI de Ñuble
Los Alamos,VIII del Bio-Bio
Futaleufu,X de Los Lagos
Iquique,I de Tarapaca
Ninhue,XVI de Ñuble
Chiguayante,VIII del Bio-Bio
Freire,IX de La Araucania
Laguna Blanca,XII de Magallanes y de La Antartica Chilena
Chimbarongo,VI del Libertador General Bernardo O'Higgins
Calera,V de Valparaiso
Salamanca,IV de Coquimbo
Palena,X de Los Lagos
Camarones,XV de Arica y Parinacota
Lonquimay,IX de La Araucania
Futrono,XIV de Los Rios
Quinchao,X de Los Lagos
Quellon,X de Los Lagos
Villa Alemana,V de Valparaiso
Pelarco,VII del Maule
Rio Verde,XII de Magallanes y de La Antartica Chilena
Pozo Almonte,I de Tarapaca
Llanquihue,X de Los Lagos
Llaillay,V de Valparaiso
Santa Juana,VIII del Bio-Bio
Arica,XV de Arica y Parinacota
Laja,VIII del Bio-Bio
Punitaqui,IV de Coquimbo
Palmilla,VI del Libertador General Bernardo O'Higgins
Penco,VIII del Bio-Bio
Queilen,X de Los Lagos
Illapel,IV de Coquimbo
Cabrero,VIII del Bio-Bio
El Tabo,V de Valparaiso
Chanco,VII del Maule
Constitucion,VII del Maule
Rauco,VII del Maule
Peralillo,VI del Libertador General Bernardo O'Higgins
Melipeuco,IX de La Araucania
Romeral,VII del Maule
Tortel,XI de Aysen del General Carlos Ibañez del Campo
Parral,VII del Maule
San Bernardo,Metropolitana de Santiago
Dalcahue,X de Los Lagos
La Reina,Metropolitana de Santiago
Teno,VII del Maule
Padre Las Casas,IX de La Araucania
Huechuraba,Metropolitana de Santiago
Macul,Metropolitana de Santiago
Curanilahue,VIII del Bio-Bio
Timaukel,XII de Magallanes y de La Antartica Chilena
Negrete,VIII del Bio-Bio
Las Condes,Metropolitana de Santiago
Quilleco,VIII del Bio-Bio
Providencia,Metropolitana de Santiago
Curacautin,IX de La Araucania
Coronel,VIII del Bio-Bio
Peñaflor,Metropolitana de Santiago
Antofagasta,II de Antofagasta
Canela,IV de Coquimbo
Maria Pinto,Metropolitana de Santiago
Curico,VII del Maule
Sagrada Familia,VII del Maule
Chaiten,X de Los Lagos
Chile Chico,XI de Aysen del General Carlos Ibañez del Campo
Quillota,V de Valparaiso
Quintero,V de Valparaiso
Calle Larga,V de Valparaiso
Cartagena,V de Valparaiso
Santiago,Metropolitana de Santiago
Puchuncavi,V de Valparaiso
Lebu,VIII del Bio-Bio
Colchane,I de Tarapaca
Yerbas Buenas,VII del Maule
San Fernando,VI del Libertador General Bernardo O'Higgins
Osorno,X de Los Lagos
Placilla,VI del Libertador General Bernardo O'Higgins
San Antonio,V de Valparaiso
Sierra Gorda,II de Antofagasta
Lago Ranco,XIV de Los Rios
Vichuquen,VII del Maule
Curacavi,Metropolitana de Santiago
San Pedro de Atacama,II de Antofagasta
Galvarino,IX de La Araucania
Vicuña,IV de Coquimbo
Mejillones,II de Antofagasta
Quilaco,VIII del Bio-Bio
Cisnes,XI de Aysen del General Carlos Ibañez del Campo
Quinta de Tilcoco,VI del Libertador General Bernardo O'Higgins
Pelluhue,VII del Maule
Cerrillos,Metropolitana de Santiago
Corral,XIV de Los Rios
Talcahuano,VIII del Bio-Bio
Cabo de Hornos,XII de Magallanes y de La Antartica Chilena
Lanco,XIV de Los Rios
Lautaro,IX de La Araucania
Villa Alegre,VII del Maule
Recoleta,Metropolitana de Santiago
Valparaiso,V de Valparaiso
Pedro Aguirre Cerda,Metropolitana de Santiago
Los Lagos,XIV de Los Rios
Ovalle,IV de Coquimbo
Padre Hurtado,Metropolitana de Santiago
La Pintana,Metropolitana de Santiago
Camiña,I de Tarapaca
Coinco,VI del Libertador General Bernardo O'Higgins
La Cisterna,Metropolitana de Santiago
Curaco de Velez,X de Los Lagos
San Miguel,Metropolitana de Santiago
Santa Cruz,VI del Libertador General Bernardo O'Higgins
Pichilemu,VI del Libertador General Bernardo O'Higgins
Teodoro Schmidt,IX de La Araucania
Calbuco,X de Los Lagos
Lumaco,IX de La Araucania
Angol,IX de La Araucania
Loncoche,IX de La Araucania
Ñuñoa,Metropolitana de Santiago
Coihueco,XVI de Ñuble
Los Sauces,IX de La Araucania
Pudahuel,Metropolitana de Santiago
Chonchi,X de Los Lagos
Panguipulli,XIV de Los Rios
Tirua,VIII del Bio-Bio
Talagante,Metropolitana de Santiago
La Granja,Metropolitana de Santiago
Combarbala,IV de Coquimbo
Curarrehue,IX de La Araucania
Tierra Amarilla,III de Atacama
Quilicura,Metropolitana de Santiago
San Rosendo,VIII del Bio-Bio
Cobquecura,XVI de Ñuble
Independencia,Metropolitana de Santiago
Santo Domingo,V de Valparaiso
Aisen,XI de Aysen del General Carlos Ibañez del Campo
Puqueldon,X de Los Lagos
Los Vilos,IV de Coquimbo
Estacion Central,Metropolitana de Santiago
San Vicente,VI del Libertador General Bernardo O'Higgins
Mostazal,VI del Libertador General Bernardo O'Higgins
Fresia,X de Los Lagos
Conchali,Metropolitana de Santiago
Chepica,VI del Libertador General Bernardo O'Higgins
Concon,V de Valparaiso
Copiapo,III de Atacama
Hualaihue,X de Los Lagos
Rio Hurtado,IV de Coquimbo
San Fabian,XVI de Ñuble
Natales,XII de Magallanes y de La Antartica Chilena
Torres del Paine,XII de Magallanes y de La Antartica Chilena
Castro,X de Los Lagos
Linares,VII del Maule
Paillaco,XIV de Los Rios
Santa Maria,V de Valparaiso
Juan Fernandez,V de Valparaiso
Coquimbo,IV de Coquimbo
Florida,VIII del Bio-Bio
Hualpen,VIII del Bio-Bio
Chillan,XVI de Ñuble
La Higuera,IV de Coquimbo
Treguaco,XVI de Ñuble
O'Higgins,XI de Aysen del General Carlos Ibañez del Campo
Victoria,IX de La Araucania
Codegua,VI del Libertador General Bernardo O'Higgins
Lago Verde,XI de Aysen del General Carlos Ibañez del Campo
San Nicolas,XVI de Ñuble
Putre,XV de Arica y Parinacota
Punta Arenas,XII de Magallanes y de La Antartica Chilena
Coelemu,XVI de Ñuble
Yungay,XVI de Ñuble
La Serena,IV de Coquimbo
Chillan Viejo,XVI de Ñuble
San Jose de Maipo,Metropolitana de Santiago
Alto Hospicio,I de Tarapaca
Machali,VI del Libertador General Bernardo O'Higgins
Putaendo,V de Valparaiso
Yumbel,VIII del Bio-Bio
Antuco,VIII del Bio-Bio
Tocopilla,II de Antofagasta
Viña del Mar,V de Valparaiso
Puyehue,X de Los Lagos
Casablanca,V de Valparaiso
El Monte,Metropolitana de Santiago
Talca,VII del Maule
Quilpue,V de Valparaiso
Arauco,VIII del Bio-Bio
Cholchol,IX de La Araucania
Antartica,XII de Magallanes y de La Antartica Chilena
San Pedro,Metropolitana de Santiago
Melipilla,Metropolitana de Santiago
El Quisco,V de Valparaiso
Molina,VII del Maule
El Bosque,Metropolitana de Santiago
Nogales,V de Valparaiso
Huasco,III de Atacama
Ranquil,XVI de Ñuble
Collipulli,IX de La Araucania
El Carmen,XVI de Ñuble
Algarrobo,V de Valparaiso
Quirihue,XVI de Ñuble
Pumanque,VI del Libertador General Bernardo O'Higgins
Pica,I de Tarapaca
Puerto Octay,X de Los Lagos
San Pablo,X de Los Lagos
San Javier,VII del Maule
Longavi,VII del Maule
Cochamo,X de Los Lagos
Petorca,V de Valparaiso
Rio Bueno,XIV de Los Rios
Quillon,XVI de Ñuble
Gorbea,IX de La Araucania
Andacollo,IV de Coquimbo
General Lagos,XV de Arica y Parinacota
Concepcion,VIII del Bio-Bio
Catemu,V de Valparaiso
Ñiquen,XVI de Ñuble
Valdivia,XIV de Los Rios
Limache,V de Valparaiso
Colina,Metropolitana de Santiago
Bulnes,XVI de Ñuble
Pemuco,XVI de Ñuble
Ercilla,IX de La Araucania
Paredones,VI del Libertador General Bernardo O'Higgins
Mafil,XIV de Los Rios
Empedrado,VII del Maule
Calera de Tango,Metropolitana de Santiago
Puente Alto,Metropolitana de Santiago
San Juan de la Costa,X de Los Lagos
Buin,Metropolitana de Santiago
Tolten,IX de La Araucania
Cerro Navia,Metropolitana de Santiago
Hualqui,VIII del Bio-Bio
La Cruz,V de Valparaiso
San Esteban,V de Valparaiso
Quinta Normal,Metropolitana de Santiago
Curepto,VII del Maule
Papudo,V de Valparaiso
Freirina,III de Atacama
Puerto Montt,X de Los Lagos
Cauquenes,VII del Maule
Villarrica,IX de La Araucania
Litueche,VI del Libertador General Bernardo O'Higgins
Isla de Pascua,V de Valparaiso
Renaico,IX de La Araucania
San Carlos,XVI de Ñuble
Rio Ibañez,XI de Aysen del General Carlos Ibañez del Campo
Los Muermos,X de Los Lagos
