nombre,comuna,fecha apertura,operativo
"Mid-America Apartment Communities, Inc.",Tucapel,18-12-1974,si
STMicroelectronics N.V.,San Rosendo,02-12-1982,si
"XO Group, Inc.",Rio Verde,22-01-2014,si
"Destination XL Group, Inc.",Copiapo,27-11-1982,si
"Franklin Financial Network, Inc.",Sierra Gorda,13-10-1984,si
Cowen Inc.,Copiapo,26-11-2000,si
"Nutanix, Inc.",Rio Ibanez,03-08-1954,si
Janus Henderson Small Cap Growth Alpha ETF,Calama,02-12-1981,si
China Cord Blood Corporation,Los Alamos,20-10-1968,si
"Argos Therapeutics, Inc.",Calama,16-07-1990,si
Inseego Corp.,Alto del Carmen,26-07-1990,si
"Apple Hospitality REIT, Inc.",Antofagasta,26-02-1951,si
"TC PipeLines, LP",Iquique,04-02-1951,si
Georgia Power Company,Tocopilla,13-06-1984,si
Costamare Inc.,Canete,13-09-1969,si
"Taiwan Fund, Inc. (The)",Contulmo,08-12-2002,si
Entegra Financial Corp.,Monte Patria,01-09-1976,si
Torchmark Corporation,Alto del Carmen,07-06-1963,si
SAP SE,Juan Fernandez,21-03-2003,si
Old Republic International Corporation,Alto Hospicio,21-04-1973,si
"Cleveland BioLabs, Inc.",San Pedro de Atacama,11-11-1979,si
"Gabelli Equity Trust, Inc. (The)",San Gregorio,03-06-1960,si
Crawford & Company,Vicuna,16-08-2005,si
"Delcath Systems, Inc.",Diego de Almagro,04-03-1969,si
GlaxoSmithKline PLC,Chanaral,23-09-1952,si
Great Plains Energy Inc,Rancagua,07-08-1959,si
Bed Bath & Beyond Inc.,Chanaral,17-11-1982,si
PIMCO Dynamic Credit and Mortgage Income Fund,Ovalle,19-03-1980,si
Northern Trust Corporation,Sierra Gorda,22-01-1979,si
Neff Corporation,Antartica,11-12-1973,si
First Trust South Korea AlphaDEX Fund,Codegua,12-11-1991,si
"PDF Solutions, Inc.",Putre,28-02-1979,si
"Enanta Pharmaceuticals, Inc.",Quintero,06-06-1976,si
"Safe Bulkers, Inc",Mejillones,23-03-1975,si
"Gray Television, Inc.",Alhue,06-10-2004,si
"CatchMark Timber Trust, Inc.",Antofagasta,20-08-1990,si
"Shutterstock, Inc.",Curacavi,28-11-1986,si
"Adams Diversified Equity Fund, Inc.",Panguipulli,22-04-1960,si
E.I. du Pont de Nemours and Company,Ollagüe,12-02-1986,si
Vina Concha Y Toro,Tirua,21-03-2010,si
"Tootsie Roll Industries, Inc.",San Pedro de Atacama,02-12-1971,si
"The Chefs' Warehouse, Inc.",Ollagüe,13-05-2010,si
"India Fund, Inc. (The)",Porvenir,27-02-1986,si
Gladstone Commercial Corporation,Alto Hospicio,10-03-2010,si
DRDGOLD Limited,Combarbala,26-06-2018,si
"Herman Miller, Inc.",Sierra Gorda,03-12-1957,si
Fidus Investment Corporation,Camina,29-06-1952,si
Great Elm Capital Corp.,Colchane,23-06-2001,si
West Corporation,Los Vilos,25-11-2004,si
Dollar General Corporation,Maria Elena,13-11-2012,si
Cohen & Steers Reit and Preferred Income Fund Inc,Punitaqui,08-05-1969,si
B.O.S. Better Online Solutions,Taltal,12-08-1962,si
Hamilton Lane Incorporated,Alto Biobio,23-03-1950,si
"HD Supply Holdings, Inc.",Mejillones,07-01-2000,si
BRF S.A.,Talagante,04-08-1951,si
"Aspen Technology, Inc.",Antofagasta,04-03-2014,si
Patriot National Bancorp Inc.,Tocopilla,11-11-1974,si
"Blackhawk Network Holdings, Inc.",Punta Arenas,02-08-1978,si
Natl Westminster Pfd,Cabo de Hornos,21-12-1963,si
"AMC Entertainment Holdings, Inc.",Tierra Amarilla,17-10-2001,si
Salesforce.com Inc,Primavera,03-08-1976,si
Envision Healthcare Corporation,Rio Hurtado,19-11-1974,si
"FairPoint Communications, Inc.",Andacollo,30-12-1992,si
Arlington Asset Investment Corp,Ollagüe,25-08-1997,si
Tekla Healthcare Opportunies Fund,Tierra Amarilla,28-12-2008,si
Nuveen Floating Rate Income Fund,Vallenar,12-07-1966,si
"Littelfuse, Inc.",Salamanca,05-12-1969,si
"Chegg, Inc.",Casablanca,04-01-2015,si
"Vectrus, Inc.",Camina,19-09-1958,si
CVS Health Corporation,Pozo Almonte,08-08-1960,si
"Commerce Bancshares, Inc.",Maria Elena,20-04-2016,si
"Sarepta Therapeutics, Inc.",Freirina,07-01-1976,si
Texas Pacific Land Trust,Maria Elena,18-04-1961,si
"Waste Management, Inc.",Curanilahue,28-11-1997,si
Eagle Bulk Shipping Inc.,Canela,17-11-1987,si
"Everspin Technologies, Inc.",Arica,28-06-1994,si
PrimeEnergy Corporation,Freirina,05-07-1966,si
TICC Capital Corp.,Mejillones,31-05-1956,si
"Pinnacle Financial Partners, Inc.",Huara,02-11-1980,si
Kopin Corporation,Alto del Carmen,24-12-1978,si
BlackRock Municipal Target Term Trust Inc. (The),San Pedro de Atacama,31-03-1955,si
Nuveen Energy MLP Total Return Fund,Puchuncavi,16-02-1972,si
"Biocept, Inc.",Timaukel,13-08-1994,si
"Arista Networks, Inc.",Vallenar,24-09-1972,si
"ILG, Inc",San Pedro de Atacama,24-04-1983,si
Moog Inc.,Huasco,28-11-1967,si
"LM Funding America, Inc.",Rio Bueno,14-11-1954,si
"PrivateBancorp, Inc.",Sierra Gorda,05-09-1981,si
Zion Oil & Gas Inc,Illapel,22-12-1972,si
"Sierra Oncology, Inc.",Antofagasta,22-08-1994,si
Abeona Therapeutics Inc.,Calama,18-02-1969,si
Merus Labs International Inc.,Tocopilla,05-10-1976,si
Imax Corporation,Freirina,01-08-1968,si
"H&R Block, Inc.",Taltal,11-06-1986,si
Northrop Grumman Corporation,Concon,16-04-1951,si
Diana Shipping inc.,Camarones,25-02-2010,si
"Spark Energy, Inc.",Pozo Almonte,01-07-1987,si
