numero,comuna de tramitacion
73886-44546-MF,Tiltil
97192-64062-AO,San Ignacio
15045-27259-FJ,Los Alamos
2515-70419-BK,Futaleufu
2822-26741-BG,Peñalolen
74086-28599-NL,Hualañe
87206-56691-GM,Iquique
67907-91471-JI,Ninhue
27527-47716-IK,Alhue
44493-60653-BO,Diego de Almagro
65366-46587-EL,Chiguayante
87180-19666-IF,Freire
99939-68279-JF,Laguna Blanca
72733-88690-FH,San Rafael
33426-96929-BL,Chimbarongo
91055-2425-AN,Calera
314-8182-HI,Salamanca
74539-38234-JK,Palena
42300-42306-GD,Camarones
99914-80641-FK,Lonquimay
84184-36811-OM,Futrono
93640-42901-JL,Futrono
23813-70951-DA,Quinchao
13715-63027-LB,Quellon
64706-42638-JA,Villa Alemana
40424-47863-HD,Pelarco
35774-44847-IM,Rio Verde
48395-29381-BE,Pozo Almonte
6039-46278-DM,Llanquihue
4395-52016-DM,Pencahue
73534-90231-HI,Llaillay
49811-4830-BB,Santa Juana
84778-14286-BI,Pelarco
17580-89623-OM,Maipu
15489-36709-BL,Lo Prado
52703-52793-AN,Purranque
74694-31348-GD,Rinconada
52284-16837-NN,Arica
54956-80049-BJ,Futrono
51783-24718-HB,Colbun
15484-55884-AB,Laja
44898-65648-NL,Futrono
24000-80875-LO,Maullin
40730-73518-GG,Punitaqui
47842-38319-FL,Palmilla
70840-46159-IA,Lo Prado
95619-82163-MF,Penco
36328-56110-OF,Queilen
77044-72351-BI,Illapel
36292-25733-IJ,Cabrero
74461-72782-EB,Nueva Imperial
16503-37302-BD,El Tabo
772-77603-DB,Chanco
18642-73174-BB,Las Cabras
17228-3064-MM,Nacimiento
27069-62591-KF,Cañete
27015-10665-IE,Cabildo
43955-80754-BH,Hualañe
46089-64886-FD,La Estrella
3745-30024-FG,Lo Espejo
77927-41652-AE,Rio Negro
30984-62661-BH,Constitucion
99473-82631-BE,Rauco
46312-65664-OI,Colbun
90429-36681-LM,Peralillo
56670-69690-NE,Melipeuco
94976-35914-BB,Romeral
53700-56432-IB,Tortel
23502-8803-NH,Licanten
92110-70853-KK,Parral
87920-12322-GM,San Bernardo
95580-80242-AG,Traiguen
17794-88455-NG,Paine
75641-27577-KE,Alto Biobio
11698-17269-GG,Dalcahue
70803-2500-FA,La Reina
73341-28996-HD,Teno
37724-4760-EE,Padre Las Casas
29414-34696-KF,Huechuraba
37166-48188-KE,Vitacura
51806-27866-EI,Nueva Imperial
76889-13160-GM,Macul
83687-78588-BF,Pelarco
40525-27952-FH,Curanilahue
73600-83049-BK,Timaukel
87079-72213-HH,Cabrero
34823-55667-OO,La Florida
95381-11530-GD,Negrete
57366-40429-DK,Las Condes
50662-64907-DB,Quilleco
18261-63848-NB,Rio Verde
46357-59986-GB,Providencia
23413-42861-IJ,Curacautin
37480-31228-AO,Coronel
29929-85963-DK,Coltauco
25617-27895-FI,Peñaflor
61983-62485-LB,Lolol
28904-6829-DK,El Tabo
58413-913-LB,Antofagasta
99665-71158-BK,Canela
99349-34993-EG,Maria Pinto
57206-54530-DD,Chañaral
39648-21403-GH,Pelarco
78898-94927-BN,Camarones
51470-54280-LM,Camarones
22773-32540-GK,Coronel
54323-48069-BB,Curico
92680-33292-ID,Panquehue
54320-63443-IG,Sagrada Familia
25560-62492-IF,Antofagasta
34379-59717-IF,Chaiten
48438-89200-AK,Chile Chico
9647-51110-IB,Maullin
31250-53298-KD,Quillota
73835-79618-GA,Quintero
84402-80852-OF,Peumo
19834-44866-KH,Calle Larga
44711-38611-NI,Primavera
3541-24866-GB,Chile Chico
83925-22949-MN,Zapallar
70956-36162-DE,Palmilla
33429-60129-JB,Illapel
27617-49734-DG,Ninhue
35514-43848-JL,Cartagena
25251-67670-BJ,San Ramon
56452-53818-KL,Santiago
74760-34547-AM,Puchuncavi
1405-57352-FB,Lebu
85116-30876-JJ,Chiguayante
79002-3443-MF,Colchane
73255-18796-LG,Maullin
9382-11896-GJ,Yerbas Buenas
86035-37342-LK,Cañete
13118-46964-NG,San Fernando
55754-40935-JM,Osorno
87267-3789-AN,Placilla
54666-43312-HG,Taltal
81692-78732-OD,San Antonio
91497-47373-AM,Sierra Gorda
42899-36013-BK,Pitrufquen
22449-69777-OL,Cartagena
62769-48316-JL,Lago Ranco
66157-28678-DB,Futrono
72791-38993-ME,Ninhue
46376-64880-NE,Vichuquen
9091-18322-DK,Pucon
25126-88571-NL,Curacavi
20138-63871-AF,Los Alamos
54255-53453-LH,San Pedro de Atacama
19104-88446-DE,Galvarino
59065-2297-LD,Maria Elena
65594-17989-BA,Vicuña
35094-94809-AN,Placilla
5606-48994-GG,Carahue
8832-44419-GO,Mejillones
40701-75051-OF,Vichuquen
99748-88333-OB,Quilaco
54278-71074-LM,Cañete
10405-3013-FB,Cisnes
78658-80170-BA,Cunco
25421-78810-EI,Quinta de Tilcoco
29342-43591-EJ,Constitucion
81320-70549-ED,Pelluhue
89035-78027-BK,Cerrillos
77544-16087-ND,Pichidegua
52271-62239-NA,Corral
20917-8392-BH,Ninhue
49914-18228-EO,Talcahuano
53092-57870-IK,Lota
83550-52886-EE,Laja
82175-37613-NA,Galvarino
39937-42231-KK,Constitucion
13731-33823-KG,Curico
46636-91960-GI,San Fernando
99131-22394-OE,Camarones
81198-14020-OM,Marchihue
9775-26500-DB,Cabo de Hornos
22519-82571-EB,San Antonio
75370-89021-KJ,Negrete
37596-86844-LJ,Lanco
37932-93155-LH,Quilleco
6152-92269-OF,Quinta de Tilcoco
88027-9716-IG,Romeral
70903-65750-FN,Lautaro
10362-83889-AB,Hualañe
92927-6453-AJ,Lebu
55418-34133-KB,Guaitecas
26633-65881-KM,Maria Pinto
17149-38609-NJ,Futrono
97380-26930-JD,Villa Alegre
86135-37414-LK,Salamanca
16076-75777-HG,Recoleta
11641-34307-IJ,Valparaiso
25509-30252-GB,Cañete
60895-66489-KM,Pedro Aguirre Cerda
73320-42264-KK,Chiguayante
40868-84822-MB,Los Lagos
47853-21136-BD,Ovalle
90211-78689-NG,Temuco
1599-59083-NL,Cañete
1162-81244-BK,Padre Hurtado
98510-75106-MB,La Pintana
29042-69868-HM,Los Angeles
78386-7425-LB,Las Cabras
37911-51049-GB,Camiña
85214-87335-HK,Perquenco
83333-17784-OI,Huechuraba
26458-21930-AO,Yerbas Buenas
43980-91445-GF,San Joaquin
3186-41407-HD,Diego de Almagro
48895-50224-BO,Coinco
78748-19010-MO,Timaukel
48611-12240-LA,La Cisterna
49737-32319-EJ,Curaco de Velez
39077-17093-IO,Cisnes
95639-66226-KA,Talcahuano
42490-9549-FI,Puren
66203-16639-HB,San Miguel
18723-61185-NL,La Reina
41719-34380-HN,Rancagua
1671-13940-FB,Cabo de Hornos
47987-72458-NA,Santa Cruz
227-34265-AJ,Queilen
62386-42264-KM,Pucon
68232-33256-BE,Chanco
37574-50937-IO,Peñaflor
16168-65139-HL,Renca
68632-15702-BN,Pichilemu
70909-4295-FI,Curanilahue
54728-45409-MH,Temuco
50212-33116-MJ,Sierra Gorda
65076-92515-FA,Teodoro Schmidt
45329-39965-FN,Temuco
45674-72204-LL,Calbuco
1870-81037-GN,Lumaco
18116-27855-FA,Mulchen
7778-81018-OO,Pedro Aguirre Cerda
77220-5594-EM,Angol
67912-57970-FK,Rauco
46798-97702-AB,Renca
60125-88020-EJ,Loncoche
15566-33961-IH,Ñuñoa
23331-39321-EA,Coihueco
8847-70563-GA,Licanten
28067-87061-NJ,Los Sauces
78927-34906-AF,Lolol
76002-31884-HB,Coltauco
54269-7563-OD,Santa Juana
22419-89006-MN,Sierra Gorda
24676-34240-MD,Pudahuel
58039-4526-DN,La Union
24514-730-FM,Santiago
47441-7383-NB,La Union
38134-8615-MK,Chonchi
34535-21444-AL,Panguipulli
23788-66193-BD,Coltauco
5201-79340-GL,Panguipulli
31390-10675-JI,Tirua
4969-92890-IE,Chile Chico
42776-48862-BA,Pencahue
79438-70598-OA,Villa Alegre
57815-21806-NN,Villa Alemana
17949-48556-JA,Talagante
73862-79566-NH,Peralillo
95807-39882-EA,Loncoche
14105-17965-NF,Temuco
79531-56651-LH,La Granja
28917-93426-IO,Curaco de Velez
33889-6137-IM,Combarbala
17642-79509-ME,Guaitecas
14031-50854-DI,Lota
12682-6172-OB,Pucon
92571-15775-IG,Curarrehue
31323-76681-FM,Puren
28515-47758-HA,Tierra Amarilla
66801-89792-MN,Quilicura
65200-74601-FD,San Rosendo
5332-26842-JN,Cobquecura
19997-23211-BK,Independencia
72886-77263-II,Curacavi
22684-50841-DL,Santo Domingo
74518-75950-BE,Licanten
41314-95451-KA,Coltauco
96790-38945-EA,Pucon
88280-15844-GF,Aisen
89113-30145-NE,Tortel
26132-30243-HN,Puqueldon
20495-64198-KA,Santo Domingo
31612-27030-GN,Los Vilos
56633-55074-MH,Malloa
99687-54592-NF,Estacion Central
183-53239-EB,Placilla
62248-78435-MK,Punitaqui
88104-35890-NB,San Vicente
73598-14413-EL,Mostazal
24053-31033-EH,Curico
17636-7621-BE,Fresia
87414-9611-GL,Pencahue
379-92160-JE,Pedro Aguirre Cerda
45806-17701-BD,Placilla
47238-166-AO,Conchali
97851-38763-KB,Calera
23059-52229-IO,Rengo
59766-622-AD,Conchali
39629-99548-ID,Frutillar
73961-74990-OI,Chepica
38445-14261-KI,Rancagua
8408-55431-HD,Concon
49587-38492-AD,Lumaco
58310-81724-EM,La Estrella
77830-17261-AG,Purranque
38317-81420-LK,San Pedro de Atacama
13113-91204-IB,Huechuraba
19679-2578-IB,Pucon
88355-75891-DO,Copiapo
18375-32934-HA,Maule
43937-17188-FK,Hualaihue
84781-76951-OM,Pucon
45717-64384-GE,Peñalolen
40917-85780-OG,Chaiten
22569-85132-EO,Rio Hurtado
25648-25070-ML,Carahue
62210-85464-BE,San Fabian
81340-3193-BF,Tucapel
69702-57651-GF,Cerrillos
20294-68376-MI,Natales
62438-58719-ID,San Vicente
98872-17698-DB,Chepica
87345-98996-FN,Torres del Paine
74850-85102-JH,Castro
61716-54477-GH,Maria Elena
35747-61648-GI,Linares
91609-9651-NA,Rio Verde
61991-14342-JD,Teodoro Schmidt
29882-86331-BE,Graneros
67925-92389-AM,Caldera
63632-88004-NO,Coinco
36238-26381-HE,Paillaco
4436-2326-IK,Palmilla
5930-54688-NB,Rio Negro
23452-61348-AE,Santa Maria
86127-94020-IG,Juan Fernandez
98892-54684-KE,Combarbala
52180-51755-OL,Coquimbo
15117-86590-BE,Panquehue
59786-86883-MB,Estacion Central
52501-35380-BA,Canela
11692-49599-EA,Florida
10297-96037-NB,Chile Chico
18699-22073-FF,Placilla
39740-33960-AE,Hualpen
44764-24421-FJ,Chillan
73187-45555-LG,La Higuera
18030-36968-NJ,Treguaco
5984-71414-FO,Cobquecura
58425-27924-AB,Vicuña
98541-33437-GD,Teno
93856-11256-BG,Iquique
78391-81266-OB,La Reina
55742-61902-DO,Concon
89983-96348-DB,Florida
2253-23657-AK,Lampa
92284-59559-KK,Angol
70438-87893-EM,Constitucion
72863-84806-KE,Chiguayante
54164-4511-DB,Monte Patria
93353-20501-AB,O'Higgins
51938-21205-OJ,Talcahuano
40946-82076-LO,Victoria
43995-44394-MM,Traiguen
53774-66575-MB,Codegua
68709-17669-II,San Clemente
67830-43035-BN,Lago Verde
71513-92419-OA,San Nicolas
3586-19278-BL,Putre
66055-85336-ED,Panguipulli
21728-78263-KG,Villa Alegre
66706-39380-MO,Isla de Maipo
86519-36795-HK,San Felipe
86680-48983-OI,Rio Hurtado
22411-15947-FB,Puren
53761-16248-JH,Punta Arenas
8058-42696-HO,Coelemu
29773-34964-IA,Maule
24797-33266-GO,Lo Prado
79431-80670-LF,Curanilahue
46358-99061-OO,Yungay
67745-25836-HO,Salamanca
78766-65377-ML,La Serena
1889-67972-MO,Chillan Viejo
21780-67227-EE,Lo Barnechea
82746-44644-ID,Palmilla
50839-829-JE,Tortel
63996-26058-DI,Perquenco
19292-66392-BG,Santa Maria
31042-98887-HB,Ollagüe
92065-31029-BA,Licanten
48157-13557-DI,Panquehue
55755-56717-BD,Romeral
31567-2155-HF,Curanilahue
67349-49899-HF,Osorno
9934-82928-AG,Chañaral
15499-11395-BK,Quinchao
78952-5907-EF,San Jose de Maipo
39898-58963-LH,Cañete
17765-54876-GE,Alto Hospicio
31087-51550-DK,Lo Barnechea
75190-29365-KA,Queilen
11196-6830-JF,Machali
47152-53486-NH,Quinchao
21179-49934-JB,Putaendo
53633-38143-FO,San Pedro de Atacama
87545-5148-DM,Panquehue
77698-10226-BE,Pirque
47965-12339-DL,Hijuelas
22793-36725-DH,Lo Prado
5880-50821-KB,Pelluhue
34887-50690-FJ,Huechuraba
36124-42584-BH,Temuco
30892-82624-LH,Teodoro Schmidt
46213-77123-AI,Negrete
69260-49230-DD,Canela
13827-22125-NI,Estacion Central
29964-93594-BE,Panguipulli
77091-52112-BB,Nueva Imperial
60851-54517-MN,Hualpen
16561-56709-DI,Curanilahue
19133-4266-FO,Llaillay
23260-58469-BG,Yumbel
12661-73432-IE,Yerbas Buenas
83802-5881-LK,Alto Biobio
26031-677-MB,Santo Domingo
92732-20240-NA,Antuco
83612-36874-EN,Nueva Imperial
46735-15108-IN,Chile Chico
32735-96762-FJ,Curacautin
95730-41642-GO,Tocopilla
87973-82136-BB,Viña del Mar
55320-17047-BA,San Rosendo
16834-16078-EA,Lota
95677-87702-IA,Retiro
76674-16027-NJ,Chepica
17173-54488-OA,Coronel
99503-33039-MA,Puyehue
28177-20876-EB,Casablanca
15963-32663-FD,Licanten
75993-43940-EE,Laguna Blanca
26116-55035-KB,El Monte
46482-41469-HG,Pelarco
90077-64093-FF,Futrono
3831-95115-IE,Romeral
93803-16650-OH,Talca
47014-81990-AK,Alto Biobio
96551-10605-OL,Las Cabras
13216-18575-KH,Chillan Viejo
42444-63954-DD,Punitaqui
89274-86339-GG,Perquenco
75054-76434-NE,Estacion Central
14874-85789-MD,Rio Verde
17084-2167-NO,Mulchen
56899-69529-BN,Tirua
46288-28815-LH,Renca
52159-40798-EB,Pozo Almonte
60866-18656-FB,Paiguano
12342-9658-LH,Yerbas Buenas
60817-10105-GE,Penco
18743-65639-BO,Quilpue
71959-72466-AO,La Reina
31839-75713-JA,Arauco
56824-95547-LB,Primavera
59332-18424-DA,San Fernando
81752-96365-GD,Melipeuco
5639-16870-MB,Cholchol
77633-50657-DA,Carahue
25599-34576-AE,Coquimbo
29657-4103-IF,Recoleta
49688-92691-FE,Antartica
70137-56890-HN,Punitaqui
63450-37416-KN,Talca
68856-40737-NK,San Jose de Maipo
82195-14046-LO,Colchane
28600-8488-HJ,Constitucion
56647-42502-AD,Arauco
65059-55517-BO,Casablanca
60038-57619-BO,Lebu
15914-82677-BI,Natales
35182-19831-HH,San Pedro
47444-41443-FH,Rio Claro
7934-32949-KE,Vallenar
67183-7387-FA,Peñaflor
86588-91383-JD,San Bernardo
61597-66009-IM,Melipilla
46320-8513-NN,El Quisco
51386-94542-JH,Quilaco
87829-17879-BM,Cerrillos
19257-66234-EB,Nueva Imperial
18530-47923-EB,Codegua
67525-44905-OA,Diego de Almagro
29362-24578-DL,Molina
7895-68461-OJ,Quilleco
33633-19647-OL,El Bosque
79161-17288-BA,Los Alamos
84644-52766-KF,Concon
70381-51138-OM,San Felipe
86037-18059-MO,Pudahuel
92302-99582-BB,Peralillo
24267-28191-LI,Nogales
8999-42371-AH,Hualaihue
1899-25603-MN,Tocopilla
88641-24696-GO,Macul
70434-40618-BA,Rio Negro
45195-42798-GO,Cañete
52726-22599-NM,Illapel
73022-89394-KL,Cartagena
99640-97447-FG,Casablanca
49727-81191-JF,Quilicura
98130-23480-OA,Tocopilla
98501-46868-HE,La Florida
50994-15607-AH,Yerbas Buenas
68604-55112-AB,Contulmo
26522-85487-MG,Licanten
96548-74673-HO,Olmue
92749-97770-BO,Conchali
60282-77667-AH,Florida
55894-94468-AL,Recoleta
41319-78582-JM,Peñalolen
54897-50526-KB,Los Lagos
36364-95151-BB,Coronel
76011-68346-EO,San Fernando
52841-57823-ID,Cabrero
30569-23480-LG,Constitucion
22130-34535-DO,Huasco
52530-31141-LE,Putre
65722-41979-AG,Ranquil
14765-40161-KM,Collipulli
43480-26468-BA,El Carmen
30720-19511-BF,Vitacura
58914-60536-EH,Huara
65600-32615-AB,Rio Hurtado
43266-80914-GA,Quellon
89011-68127-KK,Quinta de Tilcoco
35202-36492-NA,Chaiten
84411-45006-KK,Salamanca
93424-71561-BO,Cochrane
36287-34715-HF,Negrete
33685-28233-DO,Pitrufquen
34427-80802-KN,San Ignacio
83406-55486-LK,Cabrero
1068-23836-MI,Recoleta
11290-61850-GE,Puerto Varas
52881-82973-BJ,Ancud
2611-3246-NG,Alhue
19385-82093-AJ,Angol
29511-32952-MN,San Fabian
52215-90963-JD,Lo Prado
2293-10939-DN,Talagante
1935-65682-IL,Illapel
92749-43026-BG,Lautaro
98161-46334-JL,Algarrobo
48238-74441-NK,Antofagasta
7396-80687-GK,Placilla
31327-62436-FG,Quirihue
24164-27572-BF,Pumanque
78082-4680-FK,Laguna Blanca
96749-63857-JO,San Pedro de Atacama
22096-9816-AE,Pica
46858-46602-BJ,Vicuña
9690-71077-NB,Puerto Octay
96415-12979-DK,San Pablo
4482-90530-OM,Nogales
93381-60445-IA,Maule
6684-55783-DJ,San Javier
23089-62116-DM,Tocopilla
43554-41682-FD,Ñuñoa
98898-88465-FL,Maria Pinto
74555-7557-JA,San Jose de Maipo
59481-17423-DG,Pudahuel
41148-99644-NF,Graneros
52815-71131-LO,Talcahuano
62654-99912-HI,Longavi
72601-12798-BI,Dalcahue
57419-14597-HO,Alhue
54082-25486-JA,San Joaquin
58490-29388-BO,Dalcahue
73973-45133-HF,Longavi
31949-99052-DF,Puchuncavi
5077-87269-FA,Cochamo
4107-17683-AE,Futaleufu
45760-84407-HB,Llaillay
65891-21432-OD,Pelluhue
81498-13737-NL,Petorca
15773-43001-OK,Maullin
52598-7874-IH,Huechuraba
1048-1576-JF,Recoleta
56348-90944-BB,Copiapo
65662-54822-OH,Rio Bueno
1752-16027-IH,Coihueco
95297-81760-LN,Quillon
74819-3605-AK,Laguna Blanca
20124-29706-DL,Puyehue
43773-38360-HO,Cabrero
72493-29886-KH,Lo Barnechea
81142-59386-ME,Gorbea
77610-37-OB,Quilaco
98968-29143-IJ,Combarbala
26953-83996-KE,Colbun
16279-75937-JI,Curaco de Velez
41657-1608-NH,Curico
59350-46142-KJ,Cerrillos
13773-15136-HB,Alto del Carmen
6375-82595-HF,Yerbas Buenas
51409-92765-GJ,Carahue
23428-92029-HH,Independencia
33153-36329-LH,Los Lagos
86908-27228-HH,Andacollo
93213-15506-GL,Iquique
38022-22792-DB,General Lagos
44625-48291-GA,Huechuraba
76442-80743-HL,Mariquina
29354-32901-NI,Los Lagos
14477-18964-OD,Pumanque
54619-8930-BG,La Ligua
66478-4933-NG,Treguaco
11971-59896-HD,Valparaiso
1835-67176-LI,Frutillar
22979-99943-MO,Pirque
64281-27871-MK,Lumaco
11310-16373-BK,Cunco
18961-97544-KD,Pitrufquen
85856-95158-MB,Cochamo
34083-71049-OO,Lebu
29318-34865-EA,Parral
97840-52918-NK,Talagante
39566-265-HG,Tortel
89847-59126-NN,Fresia
64717-47777-FJ,Pencahue
91562-88497-KE,Concepcion
46699-75218-ED,Estacion Central
7348-34541-HB,Aisen
56369-8332-AD,Santa Cruz
43464-51033-BM,Calbuco
17958-3267-NG,Catemu
78878-44469-KG,San Miguel
55137-97703-DO,Los Angeles
32804-53679-BJ,Huechuraba
55181-77178-LN,Ñiquen
85111-17851-BO,Lago Ranco
10079-12244-DF,Placilla
37963-84566-IB,Coquimbo
56713-62803-AE,Valdivia
13253-98183-EB,Concon
35476-37213-FG,Limache
17793-70475-NF,Gorbea
53776-85965-NG,Rio Verde
8700-73071-MD,Saavedra
44537-85767-BE,Copiapo
67320-53793-FJ,Lebu
12932-10634-HK,Colina
71811-42782-MH,Concepcion
98474-86225-KD,Paillaco
44298-24138-KN,Peumo
89437-87142-BI,Maria Elena
51263-79843-MB,Yumbel
78735-70827-GK,Bulnes
34737-17127-ED,Pinto
9845-640-DE,San Joaquin
17239-76609-DK,Nogales
53449-57915-JH,Las Condes
53278-21490-GA,Futaleufu
9060-87138-MA,Zapallar
59508-17546-HD,General Lagos
36098-1854-HO,Quellon
65658-26378-JJ,Pumanque
90919-23833-FK,Santa Cruz
72208-78137-JA,San Ignacio
2643-70235-DL,Cunco
63620-41909-BG,General Lagos
1057-91112-EK,Malloa
53670-64221-IK,Hijuelas
51912-87752-LL,Lago Verde
20204-52986-HD,Cabrero
3939-1660-JN,Primavera
40940-96018-OM,Iquique
69099-63486-KE,San Pedro de la Paz
73402-78680-HF,Cisnes
37170-9166-BI,Olivar
44872-57274-HI,Llanquihue
90758-65896-BD,La Higuera
94831-48106-HL,Antartica
85636-96241-EL,Chillan
49854-87732-AK,Rancagua
25186-47478-JI,Ancud
50645-69919-DM,Vichuquen
15202-82862-AM,Primavera
12290-64424-OE,San Antonio
91571-60062-AN,Cabildo
88995-64668-IA,Longavi
98793-88683-BG,Los Vilos
17638-67276-NH,Futrono
89603-37807-HG,Laguna Blanca
1191-90674-GL,Chillan Viejo
40743-10883-DB,Chanco
24220-26144-DM,Treguaco
4712-29423-JH,Tocopilla
51697-44766-EA,Chiguayante
59610-12584-DD,Corral
51819-80058-KF,Traiguen
77898-10604-IG,San Fernando
16073-21902-BH,Calama
9310-48628-FL,Quemchi
81341-44442-OF,Maria Elena
50894-3795-JE,Queilen
36513-64327-AE,Yungay
68565-94447-LJ,Retiro
2986-52250-EF,Quillon
45793-56992-IK,Pemuco
23329-59331-OA,Diego de Almagro
33410-42093-IJ,Porvenir
30056-17350-BH,Caldera
84813-42647-FD,El Carmen
34690-82250-MB,Cobquecura
92474-66064-NN,Ercilla
67192-44140-DF,Cañete
54701-95462-GL,O'Higgins
65484-58677-LJ,Huara
45370-75523-OG,Pichidegua
30961-40858-OB,Pitrufquen
26712-50179-OE,O'Higgins
78396-28833-JO,Camarones
44024-84022-IE,San Pedro de Atacama
39079-20547-AH,Palmilla
51790-65795-GE,Canela
57835-44880-DE,Bulnes
79292-20475-GB,Chile Chico
87639-50832-IN,Tortel
74825-32334-BM,Nogales
87544-22859-BI,Rengo
86066-53347-FF,Cabo de Hornos
69645-89889-LL,Loncoche
36234-19203-FN,Cerrillos
24158-67672-NI,Perquenco
61130-72137-KO,Lonquimay
5441-9583-FB,Perquenco
78884-56156-FK,Llanquihue
37715-61674-AA,Copiapo
78230-5797-EG,Peralillo
50340-35367-JB,San Rafael
51430-61935-AI,Curarrehue
28642-76395-NG,Padre Las Casas
27689-72567-DG,Camarones
87951-56043-GN,Cerrillos
81531-68569-NM,Ancud
44611-34469-FA,Curacavi
38745-62800-KH,Chile Chico
50150-12462-HG,Lago Verde
59767-23938-JE,Illapel
64372-18798-IO,Paredones
91730-79426-DB,La Florida
97475-36107-AF,Cisnes
64269-40017-NM,Requinoa
4499-73289-OM,Quinta de Tilcoco
86519-31611-HH,Los Angeles
21928-79089-JK,Temuco
17381-45899-LF,Mafil
73581-89273-OI,Lampa
88293-52542-NL,Florida
59600-64091-JH,Canela
80705-74676-LH,Perquenco
16515-59243-NI,Pitrufquen
29976-37465-IH,Futrono
38116-72701-HF,Peñalolen
51834-24227-NE,Quinta de Tilcoco
5458-21013-DH,Paiguano
99960-60394-GD,Talca
41367-98144-NE,Castro
20647-69613-FH,Quinta de Tilcoco
92860-70226-OJ,Lago Verde
25275-20504-JH,Vichuquen
2241-19669-KO,Empedrado
53724-36122-MJ,Las Condes
45573-95932-JN,Renca
65074-9664-HE,Florida
9928-48956-MN,Angol
627-72034-IG,Maria Elena
88772-82934-NE,Calera de Tango
14061-64720-BN,Antuco
6373-70087-BL,Olivar
93791-83240-HJ,Colchane
80360-65941-FE,Carahue
65927-69316-DN,Puente Alto
32881-41955-EB,Mejillones
37913-38544-OH,Freire
12436-70553-KE,Quemchi
76268-80945-IL,Pencahue
